Coin,Price,24H Volume,Market Cap,Circulating Supply
HZ,0.0004314256,0,0,0
FAIR,0.7862822684999999,0,0,0
QORA,0.0006471383999999999,0,0,0
NLG,0.0025883208,1525.739081899169,1398390.704985658,0
RBY,0.07025429,1.5013167851479654,0,0
PTC,0.0290550348,0,0,0
KOREC,0.1837707768,0,0,0
WBB,0.00730026,0,0,0
SSD,0.0066861699,0,0,0
XTC,0.0364440557,0,0,0
DNOTES,0.0006812792,0,0,0
FLO,0.0105666197,4.8051423163997244e-14,1474265.6973898478,0
MMXIV,0.006467429999999999,0,0,0
8BIT,25,0,0,0
STV,0.0017276146,0,0,0
EBS,0.0744122565,0,0,0
AM,0.44688177,0,0,0
XMG,0.0107997672,0,0,0
AMBER,0.0004312906,0,0,0
NKT,0.002802514,0,0,0
J,0.006398053599999999,0,0,0
GHOSTCOIN,0.0446203611,0,0,0
ABY,0.0008392814999999998,0,0,0
LDOGE,2.637e-05,0,0,0
MTR,0.4717167999999999,0,0,0
TRI,6.6148444464,0,1327274.1509913548,0
SWARM,0.1077702,0,0,0
BBR,1.208016504,0,0,0
BTCRY,1.55e-05,0,0,0
BCR,0.08600061960000001,0,0,0
XPB,0.1519423755,0,0,0
XDQ,0.0254303452,0,0,0
FLDC,0.0006466226999999999,0,0,0
SLR,0.002,4.69299266114831e-13,0,0
SMAC,0.0338344577,0,0,0
TRK,0.0037207152,0,0,0
U,0.0009108738799999999,0,0,0
UIS,0.0009605293999999998,0,0,0
CYP,1.336e-05,0,0,0
UFOCOIN,0.0006466133999999999,444.0795637394097,0,0
ASN,0.0023707321,0,0,0
OC,0.000309026256,0,0,0
GSM,0.01149332,0,0,0
FSC,0.000431016,0,0,0
NXTTY,0.0004309672,0,0,0
QBK,0.2794936428,0,0,0
BLC,6.836e-05,0,0,0
MARYJ,0.0262889992,0,0,0
OMC,0.008035176,0,0,0
GIG,0.0620459712,11.342916439450276,0,0
CC,0.0002155066,0,0,0
BITS,0.0031357836,0,0,0
LTBC,0.0025859088,0,0,0
NEOS,0.08983739580000001,0,0,0
HYPER,0.07971183800000001,0,0,0
METAL,0.00311549,0,0,0
PINK,0.0005196879999999999,110.6727471267489,0,0
GRE,0.0002154361,0,0,0
XG,0.04459554180000001,0,0,0
CHILD,0.016159395,0,0,0
BOOM,0.0038966606,0,0,0
MINE,0.063773644,0,0,0
ROS,0.00010615,0,0,0
UNAT,0.622411938,0,0,0
SLM,0.012711078,0,0,0
GAIAPLATFORM,0.0267160728,0,0,0
FCN,0.22414116546,0,0,0
CRYPTONITE,12.153,0,0,0
CURE,0.015081745,189.5282722515065,0,0
GMC,1.43699814,0,0,0
MMC,0.0790720217,0,0,0
XBC,2.93841064,5.87682128,0,0
