Time,Volume (in USD),Volume (in INR),Volume (in EUR)
1654592400,700902532.04,58790492013.49,656787642.46
1654596000,694556114.21,56546816504.26,650582702.97
1654599600,1339113752.54,113513505394.9,1256570702.38
1654603200,1053993226.48,89363750307,989966900.16
1654606800,1220388678.08,98558734292.1,1143040972.54
1654610400,1669366812.63,140278275124.79,1560597791.08
1654614000,1315969771.75,110325544465.39,1231169868.14
1654617600,908435122.85,73378066940.52,849115420.93
1654621200,685341937.39,57475991841.12,640853958.62
1654624800,1078898684.87,92012053897.79,1007867289.48
1654628400,2325220270.83,195298183959.35,2169962621.79
1654632000,2546316064.49,201520109281.24,2378487583
1654635600,1348089078.92,112300693474.83,1258937379.2
1654639200,2768580900.78,232215316000,2581661752.49
1654642800,2083207001.49,164183093504.12,1946829233.34
1654646400,1378359812.75,115892368147.68,1288526380.89
1654650000,1585051675.99,134069045467.93,1482909548.49
1654653600,1017955218.21,86127917850.62,951972053.41
1654657200,2557160629.11,224782105387.32,2393045309.21
1654660800,1473113551.12,118702414465.99,1379616771.51
1654664400,1093713238.25,87340789542.31,1023843096.19
1654668000,983425269.63,79286827744.24,920109829.7
1654671600,1214422457.27,104119368339.79,1136226525.71
1654675200,1019642180.19,85913528775.57,955094664.38
1654678800,904074539.97,75564340227.06,844485474.64
1654682400,843449002.01,70936982738.35,786846519.24
1654686000,774786458.42,62066932687.59,722075810.17
1654689600,1212913423.33,102650141841.2,1131782149.91
1654693200,1878716621.68,155406914646.96,1749024549.34
1654696800,1404941808.55,114008215434.77,1309123403.73
1654700400,941841015.83,79499466041.48,877262187.28
1654704000,1109480664.94,89829334732.85,1034636859.13
1654707600,826899486.63,73170700804.72,771731535.19
1654711200,1297752732.32,113497519509.84,1211722514.22
1654714800,900920696.46,76657390457.4,841745195.34
1654718400,637521098.69,51720999474.13,595158277.09
1654722000,571907093.62,48056893406.45,533789825.64
1654725600,641092741.25,54057562156.8,598492331.26
1654729200,668929618.16,54289203670.9,624365286.97
1654732800,992189439.14,84580455733.24,926364411.86
1654736400,663092040.25,56730489918.48,619552163.09
1654740000,664737458.22,53959204511.78,620090481.93
1654743600,652155915.4,52450436073.09,608005480.26
1654747200,522285448.94,44059158342.64,486984635.18
1654750800,714965489.58,62048069767.97,666996120.29
1654754400,589790566.05,50401399182.26,550603665.96
1654758000,732705131.27,59534084070,684670506.62
1654761600,958564216.54,81443046785.54,894907545.39
1654765200,1035563277.48,83993561308.46,966725229.68
1654768800,718200340.72,58572936655.28,670387346.23
1654772400,950329813.67,77518448709.36,885847326.3
1654776000,1461899558.31,123585898654.87,1362161218.35
1654779600,1368352705.45,112747657975.87,1280627783.3
1654783200,1131554641.79,95995883701.41,1062626491.81
1654786800,973980671.3,79431858746.68,914162044.85
1654790400,1034783856.21,84163993942.99,971513864.48
1654794000,1000468079.44,84153989951.74,940522313.06
1654797600,778317944.17,66016793738.99,732667571.15
1654801200,778383301.76,67470013231.2,733796759.34
1654804800,856881987.19,72416619945.09,806974690.26
1654808400,458133862.55,39543122854.23,431532470.84
1654812000,531917757.26,46036496117.06,501032975.52
1654815600,610305840.27,52741668588.66,574756767.78
1654819200,1752775122.94,141535671667.48,1650436994.01
1654822800,763258303.72,64554822917.36,718883011.1
1654826400,597181289.6,51153030762.52,561991592.48
1654830000,1019197699.37,82090013924.29,958511653.92
1654833600,528340569.56,42318968933.55,496989570.27
1654837200,517099944.84,43549501956.49,486280630.56
1654840800,721087641.04,63057518023.29,678391862.62
1654844400,652000495.04,56600027833.38,613492735.14
1654848000,745121139.83,62571665057.45,701837969.99
1654851600,1173152991.35,98174961461.5,1106889457.59
1654855200,852561605.4,71207240225.23,805037301
1654858800,620313650.76,50066309586.8,586631291.27
1654862400,2688821044.39,236774826609.68,2555615207.08
1654866000,2375013251.22,203291594153.07,2257235097.39
1654869600,1615719258.52,135159747238.6,1534624812.36
1654873200,1237439260.24,110575125453.1,1177024583.62
1654876800,2593004984.56,222641052404.48,2466716178.91
1654880400,1381756578.92,113459176422.74,1314378258.73
1654884000,867718888.77,74333492395.36,825508911.36
1654887600,974763850.87,84397575442.42,927284160.41
1654891200,715609792.09,61468766588.98,680674058.66
1654894800,470032413.84,41219154668.34,447111500.11
1654898400,588212727.94,51529909148.02,559689327.08
1654902000,776396695.97,68221904472.91,738624677.18
1654905600,664734175.19,53882808380.18,632424999.73
1654909200,454514995.96,39148522100.45,432350932.94
1654912800,495582888.61,42493654934.73,471406286.92
1654916400,429283637.74,35042196018.38,408251751.86
1654920000,458477780.51,39008078814.73,436126652.98
1654923600,656549016.27,53542877696.73,624618280.46
1654927200,477124128.56,38882768649.09,454030036.3
1654930800,538700611.65,46010977310.56,512724385.94
1654934400,1598044128.61,137374296533.15,1513783768.65
1654938000,1917500882.4,163241351013.76,1826025632.83
1654941600,856118218.32,70839523152.82,815370359.42
1654945200,1644094359.04,140932167032.03,1565783008.91
1654948800,1714946806.06,142261109547.22,1634731810.85
1654952400,1823444673.27,154200769467.88,1736948920.32
1654956000,1699027707.95,147512398815.22,1618774882.35
1654959600,2429531467.88,209601465392.39,2313575982.86
1654963200,1936818405.25,158807582099,1843982503.69
1654966800,1030773129.48,84685129350.07,981638030.67
1654970400,1184507613.61,101162288913.37,1128159245.17
1654974000,689605799.02,58928008146.13,656576462.45
1654977600,757348943.76,66299987338.06,720898092.87
1654981200,572461975.84,49844106368.49,544987141.93
1654984800,586839696.56,51228067572.19,558663662.21
1654988400,960071798.29,84477068388.58,913781235.17
1654992000,734403932.67,64392111343.92,699271330.51
1654995600,1085547629.28,89269653246.65,1033269406.22
